"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"	"Avg_Min"	"Avg_Q05"
5	"q"	841	860	19	1	49873025	67288159	"q11.1"	"q13.1"	0.00970611264281369	0.0363300740297688
5	"q"	851	870	19	2	59305148	80010729	"q12.1"	"q14.1"	0.00933023002642459	0.0334293372070655
5	"q"	861	880	19	3	71625032	94503035	"q13.2"	"q15"	0.0098531877043298	0.0351250883034718
5	"q"	871	890	19	4	81211273	107989292	"q14.1"	"q21.3"	0.00915451951492056	0.035216532327848
5	"q"	881	900	19	5	95817382	118954363	"q15"	"q23.1"	0.00809447443946189	0.0323437808704939
5	"q"	891	910	19	6	109322974	129522360	"q21.3"	"q23.3"	0.00986948770570667	0.0350245834047922
5	"q"	901	920	19	7	119641936	136337622	"q23.1"	"q31.2"	0.0103929195651887	0.0407282320727871
5	"q"	911	930	19	8	130288002	145171748	"q23.3"	"q32"	0.0097147740012215	0.0340939889958783
5	"q"	921	940	19	9	136865228	152838083	"q31.2"	"q33.2"	0.00787992435352613	0.0302335138583758
5	"q"	931	950	19	10	146334151	165746145	"q32"	"q34"	0.0102084770451851	0.0353357951414135
5	"q"	941	962	21	11	154437557	178312004	"q33.2"	"q35.3"	0.0083631327223415	0.0334015999050618
6	"p"	963	982	19	1	1297036	20523819	"p25.3"	"p22.3"	0.0102335421100834	0.0344719930106442
6	"p"	973	992	19	2	11374225	29214068	"p24.2"	"p22.1"	0.00828203212659258	0.0329101013574187
6	"p"	983	1002	19	3	21405056	39870200	"p22.3"	"p21.2"	0.00834112461041548	0.0325040730013254
6	"p"	993	1021	28	4	31924988	58503276	"p21.33"	"p11.2"	0.00538558353176853	0.0311238963333907
6	"q"	1022	1041	19	1	62529446	85978952	"q11.1"	"q14.3"	0.0104715405667832	0.0367269244158847
6	"q"	1032	1051	19	2	73038504	99279159	"q13"	"q16.1"	0.00847691236787417	0.0364560073994692
6	"q"	1042	1061	19	3	88230325	107920781	"q15"	"q21"	0.0104338081518008	0.0389172928689102
6	"q"	1052	1071	19	4	99790429	117809698	"q16.2"	"q22.1"	0.01027475648003	0.0396968219396089
6	"q"	1062	1081	19	5	108419267	128407926	"q21"	"q22.33"	0.0103242032687759	0.0370968963394487
6	"q"	1072	1091	19	6	118570556	139914841	"q22.31"	"q24.1"	0.00973772320109885	0.0361767039131351
6	"q"	1082	1101	19	7	129623695	151401982	"q22.33"	"q25.1"	0.00885768588489486	0.0345482650481389
6	"q"	1092	1111	19	8	141083856	158806582	"q24.1"	"q25.3"	0.00966707367182079	0.0350243210089095
6	"q"	1102	1121	19	9	152053838	169747290	"q25.1"	"q27"	0.0104110882839585	0.0382960178729922
7	"p"	1122	1141	19	1	1646315	21622750	"p22.3"	"p15.3"	0.0104534190286853	0.0372722975859316
7	"p"	1132	1151	19	2	11807386	36202604	"p21.3"	"p14.2"	0.0121055119328112	0.0374192460990758
7	"p"	1142	1170	28	3	24524124	56672964	"p15.3"	"p11.2"	0.00816089228042335	0.038886637819512
7	"q"	1171	1190	19	1	62689176	79702216	"q11.21"	"q21.11"	0.0108651702230326	0.0414639964198662
7	"q"	1181	1200	19	2	71507839	88152523	"q11.22"	"q21.12"	0.0100589614090837	0.0409748483024435
7	"q"	1191	1210	19	3	81600243	98946495	"q21.11"	"q22.1"	0.0103144858191344	0.0380329203622895
7	"q"	1201	1220	19	4	88834393	107685164	"q21.13"	"q31.1"	0.0118146191926829	0.0415384661773806
7	"q"	1211	1230	19	5	99531504	118201933	"q22.1"	"q31.31"	0.0101353020383176	0.0385368590702371
7	"q"	1221	1240	19	6	108130860	128624043	"q31.1"	"q32.1"	0.00979858076735705	0.0334080477559472
7	"q"	1231	1250	19	7	118843084	136956770	"q31.31"	"q33"	0.00908189044769594	0.031799200076218
7	"q"	1241	1260	19	8	129452491	146329761	"q32.2"	"q35"	0.0101824447631045	0.0345249374530764
7	"q"	1251	1277	26	9	137034599	157857901	"q33"	"q36.3"	0.00738217591010006	0.0390939013913371
8	"p"	1278	1297	19	1	488653	17738273	"p23.3"	"p22"	0.0127409246858278	0.0474127379039937
8	"p"	1288	1307	19	2	7992614	29699950	"p23.1"	"p12"	0.0118581028170028	0.0422929797825608
8	"p"	1298	1323	25	3	18206046	43197654	"p22"	"p11.1"	0.0105863692010892	0.0435113664801742
8	"q"	1324	1343	19	1	47698453	64304418	"q11.1"	"q12.3"	0.00959936993673169	0.0359961341874091
8	"q"	1334	1353	19	2	55343291	73560678	"q11.23"	"q13.3"	0.0106720850077228	0.0393772491531796
8	"q"	1344	1363	19	3	65216296	82461173	"q12.3"	"q21.13"	0.0130710107021961	0.0468313829902439
8	"q"	1354	1373	19	4	75411898	95910661	"q21.11"	"q22.1"	0.0129195870457026	0.0479220004702992
8	"q"	1364	1383	19	5	84216776	105934497	"q21.13"	"q22.3"	0.0104407631576188	0.0402437080712481
8	"q"	1374	1393	19	6	97704933	117215694	"q22.1"	"q23.3"	0.0114878403006246	0.042587404800114
8	"q"	1384	1403	19	7	107752315	128667455	"q23.1"	"q24.21"	0.0124110011488487	0.0479436211387912
8	"q"	1394	1416	22	8	118228903	145613007	"q24.11"	"q24.3"	0.0100855062854429	0.0466324161844304
9	"p"	1417	1436	19	1	1002152	16152186	"p24.3"	"p22.3"	0.0168806927410846	0.0576990990415073
9	"p"	1427	1446	19	2	9668611	24101721	"p23"	"p21.3"	0.0179840369534517	0.062450179011064
9	"p"	1437	1456	19	3	16998010	32452267	"p22.2"	"p21.1"	0.0175763230429312	0.0654762889137774
9	"p"	1447	1468	21	4	24888888	46791316	"p21.3"	"p11.2"	0.0110701046333143	0.0491055992491026
9	"q"	1469	1488	19	1	67516297	86102092	"q13"	"q21.32"	0.0179130941328378	0.0624132416807234
9	"q"	1479	1498	19	2	78861659	91415512	"q21.13"	"q22.1"	0.0163185549491978	0.0633276451888604
9	"q"	1489	1508	19	3	86991741	98981704	"q21.33"	"q22.32"	0.0137030302697393	0.0541253592077254
9	"q"	1499	1518	19	4	92847611	106175452	"q22.2"	"q31.1"	0.0155908045654263	0.0542303312536055
9	"q"	1509	1528	19	5	100042032	114652483	"q22.33"	"q31.3"	0.0162265565316863	0.0606770697209597
9	"q"	1519	1538	19	6	106545018	121037606	"q31.1"	"q33.1"	0.0141834811617579	0.057835054935174
9	"q"	1529	1548	19	7	115462209	128193295	"q32"	"q33.3"	0.0155738875298415	0.0574009368230368
9	"q"	1539	1559	20	8	121874735	137973287	"q33.1"	"q34.3"	0.0160138277443268	0.0570012696928554
10	"p"	1560	1579	19	1	1217029	19986417	"p15.3"	"p12.31"	0.0109542299164731	0.0376724714444215
10	"p"	1570	1589	19	2	10915523	28946018	"p14"	"p12.1"	0.00965672490121701	0.0335762729957961
10	"p"	1580	1600	20	3	20522279	38562688	"p12.31"	"p11.1"	0.00768494289317878	0.0321659165029734
10	"q"	1601	1620	19	1	43341888	63184049	"q11.21"	"q21.2"	0.0115448366310927	0.0444223478357776
10	"q"	1611	1630	19	2	54243337	74164328	"q21.1"	"q22.1"	0.00988899394190314	0.0371903813257128
10	"q"	1621	1640	19	3	64111493	82490215	"q21.2"	"q23.1"	0.00996280495245318	0.0374453603644785
10	"q"	1631	1650	19	4	75284694	90607464	"q22.2"	"q23.31"	0.00824013848162186	0.0364673240453161
10	"q"	1641	1660	19	5	83646484	100952271	"q23.1"	"q24.2"	0.00913652482565901	0.0312728789575803
10	"q"	1651	1670	19	6	91326292	111508658	"q23.31"	"q25.1"	0.00842511871048728	0.0347431536026664
10	"q"	1661	1680	19	7	101712730	120370659	"q24.2"	"q26.11"	0.0106443042492941	0.0355467946126674
10	"q"	1671	1697	26	8	112361447	135221600	"q25.2"	"q26.3"	0.00825936370842018	0.0382264023005799
11	"p"	1698	1717	19	1	1629862	18139630	"p15.5"	"p15.1"	0.00913360792486343	0.0381753275241205
11	"p"	1708	1727	19	2	9709739	30606866	"p15.4"	"p14.1"	0.0119573314250232	0.0404074229543558
11	"p"	1718	1737	19	3	18585995	35190778	"p15.1"	"p13"	0.0103800280010833	0.0384424402424928
11	"p"	1728	1752	24	4	30708700	51439293	"p14.1"	"p11.12"	0.00857955223848654	0.0396902408010922
11	"q"	1753	1772	19	1	55083762	70559975	"q11"	"q13.4"	0.0118009422309941	0.04291236637548
11	"q"	1763	1782	19	2	64087480	78357714	"q13.1"	"q14.1"	0.0158310723525518	0.0511216158364847
11	"q"	1773	1792	19	3	70629079	87243850	"q13.4"	"q14.2"	0.0126190872725119	0.0509513666248479
11	"q"	1783	1802	19	4	78965063	96651471	"q14.1"	"q21"	0.0116535084485142	0.0423737827130332
11	"q"	1793	1812	19	5	91264719	104299413	"q14.3"	"q22.3"	0.0107761364649075	0.0417310827440393
11	"q"	1803	1822	19	6	97598601	114236228	"q22.1"	"q23.2"	0.0114782044919479	0.0399106865683054
11	"q"	1813	1832	19	7	105445897	122620172	"q22.3"	"q24.1"	0.0100490820797349	0.0366065232382993
11	"q"	1823	1845	22	8	115319527	134479818	"q23.3"	"q25"	0.00978319426805689	0.038941617133337
12	"p"	1846	1865	19	1	282273	18609593	"p13.33"	"p12.3"	0.0138650839983475	0.0452029268892185
12	"p"	1856	1881	25	2	8027871	33280286	"p13.31"	"p11.21"	0.0070706501409213	0.0375026460454777
12	"q"	1882	1901	19	1	38914690	53207103	"q12"	"q13.13"	0.010449129868403	0.0353289500624712
12	"q"	1892	1911	19	2	47577091	61925893	"q13.11"	"q14.1"	0.0107063883336926	0.0388309785938065
12	"q"	1902	1921	19	3	53460231	74781532	"q13.13"	"q21.1"	0.00918986094254694	0.0384447465390274
12	"q"	1912	1931	19	4	64567977	83465375	"q14.2"	"q21.31"	0.0105862836680009	0.038230725304451
12	"q"	1922	1941	19	5	74908274	94471863	"q21.1"	"q22"	0.0104880810704916	0.0402300790843195
12	"q"	1932	1951	19	6	84167850	102067275	"q21.31"	"q23.2"	0.0102991681121047	0.0411642458957874
12	"q"	1942	1961	19	7	94523046	110678166	"q22"	"q24.11"	0.00868578309037548	0.033089622178912
12	"q"	1952	1971	19	8	102957740	119576146	"q23.2"	"q24.23"	0.0107197587707938	0.0389126318074919
12	"q"	1962	1986	24	9	111316270	133346391	"q24.11"	"q24.33"	0.0103941306711056	0.046175497688432
13	"q"	1987	2006	19	1	20238604	36012940	"q12.11"	"q13.3"	0.00927335045558905	0.0378586316024744
13	"q"	1997	2016	19	2	28516250	46042385	"q12.2"	"q14.13"	0.00831464777602212	0.0307506600476334
13	"q"	2007	2026	19	3	38319921	56818886	"q13.3"	"q21.1"	0.00843311361495127	0.0299754527909273
13	"q"	2017	2036	19	4	48083033	68428774	"q14.2"	"q21.32"	0.0084487747645922	0.0315129666704286
13	"q"	2027	2046	19	5	58732382	78892425	"q21.1"	"q22.3"	0.00981679388589568	0.0357696190952823
13	"q"	2037	2056	19	6	69283809	89061550	"q21.33"	"q31.2"	0.00871279507453685	0.0316890599785411
13	"q"	2047	2066	19	7	79057929	98471162	"q31.1"	"q32.2"	0.00897198040066762	0.0353693749432457
13	"q"	2057	2081	24	8	89679237	113692428	"q31.2"	"q34"	0.00835057708591502	0.0367968848726867
14	"q"	2082	2101	19	1	20501977	40300279	"q11.2"	"q21.1"	0.0113075804916329	0.0371132652188199
14	"q"	2092	2111	19	2	31089528	50538326	"q12"	"q21.3"	0.00936690592439244	0.0334469695802719
14	"q"	2102	2121	19	3	41294945	59254716	"q21.1"	"q23.1"	0.00849592509452702	0.0316735453678874
14	"q"	2112	2131	19	4	51787549	68753875	"q22.1"	"q24.1"	0.00970397527621115	0.0350968118799446
14	"q"	2122	2141	19	5	60267258	76141892	"q23.1"	"q24.3"	0.0117629398091577	0.0395004925105631
14	"q"	2132	2151	19	6	69341229	84784824	"q24.1"	"q31.2"	0.0100533131153493	0.0357001716097695
14	"q"	2142	2161	19	7	76584595	94877177	"q24.3"	"q32.13"	0.0101211559765658	0.0360670040554244
14	"q"	2152	2174	22	8	85099070	106197313	"q31.3"	"q32.33"	0.00877712203601887	0.0353796484896133
15	"q"	2175	2194	19	1	22813353	43893914	"q11.2"	"q15.3"	0.0115503521608375	0.0430904701385106
15	"q"	2185	2204	19	2	35106817	53948184	"q14"	"q21.3"	0.0104100402193025	0.0388949304089176
15	"q"	2195	2214	19	3	44807380	64580851	"q21.1"	"q22.31"	0.0110749005612208	0.038560057477425
15	"q"	2205	2224	19	4	54773298	70833282	"q21.3"	"q23"	0.00975102564298444	0.0350683595168083
15	"q"	2215	2234	19	5	65284212	83070992	"q22.31"	"q25.2"	0.0104063196653855	0.0380234126744585
15	"q"	2225	2252	27	6	72356454	101733816	"q23"	"q26.3"	0.00755025522476624	0.0409576436340944
16	"p"	2253	2272	19	1	491053	20244797	"p13.3"	"p12.3"	0.0147424188253162	0.0511721579885827
16	"p"	2263	2283	20	2	9728105	31048088	"p13.2"	"p11.2"	0.0120464396951284	0.0451229313415223
16	"q"	2284	2303	19	1	46510743	63838775	"q11.2"	"q21"	0.0109158558428569	0.0400627093283063
16	"q"	2294	2313	19	2	55869021	70133673	"q12.2"	"q22.1"	0.0102082775140604	0.0389797896982716
16	"q"	2304	2323	19	3	64365187	77877733	"q21"	"q23.1"	0.0118324817421897	0.0424951677546089
16	"q"	2314	2335	21	4	70607807	89894658	"q22.1"	"q24.3"	0.0115311461125382	0.0430360062628229
17	"p"	2336	2355	19	1	856239	15381603	"p13.3"	"p12"	0.0099049524375541	0.0353666878334046
17	"p"	2346	2365	19	2	7498754	21899773	"p13.1"	"p11.2"	0.00980542382303296	0.0393264965722018
17	"q"	2366	2385	19	1	25440972	37812853	"q11.1"	"q12"	0.0154859959676344	0.0552479960016195
17	"q"	2376	2395	19	2	32489785	43339849	"q12"	"q21.31"	0.0135490545828423	0.0469014574069851
17	"q"	2386	2405	19	3	38428492	49075570	"q21.2"	"q21.33"	0.0144780997384172	0.0543607273761663
17	"q"	2396	2415	19	4	44084882	57340119	"q21.31"	"q22"	0.0162270459164446	0.058484359735075
17	"q"	2406	2425	19	5	51080264	66108804	"q22"	"q24.2"	0.0137745476452204	0.0522261494516673
17	"q"	2416	2440	24	6	57996713	80780814	"q23.1"	"q25.3"	0.00955970433331747	0.0470460533384578
18	"q"	2458	2477	19	1	18973956	41791273	"q11.1"	"q12.3"	0.0102510046208954	0.0404606094541526
18	"q"	2468	2487	19	2	30004156	49687870	"q12.1"	"q21.2"	0.0112142671555867	0.0379811671581092
18	"q"	2478	2497	19	3	42963568	60422438	"q12.3"	"q21.33"	0.00946352665416715	0.0336721662510796
18	"q"	2488	2515	27	4	51533581	77438811	"q21.2"	"q23"	0.00819068850927421	0.0421504561621815
19	"p"	2516	2535	19	1	2645842	16152544	"p13.3"	"p13.12"	0.0113591891077065	0.0398935543409489
19	"p"	2526	2546	20	2	9181365	23764233	"p13.2"	"p12"	0.0116905262989582	0.0459417036956042
19	"q"	2547	2566	19	1	28200396	45221782	"q11"	"q13.32"	0.0115148067559416	0.0454507217122559
19	"q"	2557	2580	23	2	36185687	58824283	"q13.12"	"q13.43"	0.00791723155781081	0.0376454569982045
20	"q"	2600	2619	19	1	29456636	42370936	"q11.21"	"q13.12"	0.0117609325026939	0.0391329198660907
20	"q"	2610	2629	19	2	35452532	51284969	"q11.23"	"q13.2"	0.00983890537069175	0.0397923892928841
20	"q"	2620	2641	21	3	44457309	62639242	"q13.12"	"q13.33"	0.00998225491848876	0.041607432516348
21	"q"	2642	2666	24	1	15713961	47600622	"q11.2"	"q22.3"	0.00870353447748842	0.0402849314102999
22	"q"	2667	2686	19	1	17242248	33169418	"q11.1"	"q12.3"	0.0102757280966236	0.0392617360120547
22	"q"	2677	2696	19	2	25550817	39609438	"q11.23"	"q13.1"	0.0105013894224419	0.035324324611227
22	"q"	2687	2712	25	3	33366938	49796787	"q12.3"	"q13.33"	0.00802659525273793	0.0358083096612494
23	"p"	2713	2732	19	1	2930526	27116708	"p22.33"	"p21.3"	0.0113628232822223	0.0396004602801973
23	"p"	2723	2742	19	2	14852690	37669959	"p22.2"	"p11.4"	0.0118615162522402	0.042674306272237
23	"p"	2733	2757	24	3	28120950	57800610	"p21.3"	"p11.21"	0.00821241036212944	0.0389195298408432
23	"q"	2758	2777	19	1	62352481	83345490	"q11.1"	"q21.1"	0.011675980933129	0.0400140541674265
23	"q"	2768	2787	19	2	73471329	95328172	"q13.2"	"q21.33"	0.0108359779548269	0.0400134580222658
23	"q"	2778	2797	19	3	83958678	106167441	"q21.1"	"q22.3"	0.00817510198918604	0.0329241555544479
23	"q"	2788	2807	19	4	96464293	118555886	"q21.33"	"q24"	0.00988601551871462	0.0343701377085719
23	"q"	2798	2817	19	5	107035946	129845744	"q22.3"	"q26.1"	0.0111650889056754	0.0369505719188119
23	"q"	2808	2827	19	6	119561031	140385198	"q24"	"q27.2"	0.0105382436131894	0.0337131502930468
23	"q"	2818	2842	24	7	131357146	154131702	"q26.2"	"q28"	0.00815901964177562	0.0365042528480042
